counter	timestamp	deadtime	ch1_height	ch2_height
1	1720098395.7087061	0.0016619255905953364	2245	0
2	1720098395.8154216	0.00467867586330052	632	0
3	1720098395.923291	0.005896052007107932	2569	0
4	1720098396.03087	0.004388213750624271	554	0
5	1720098396.138592	0.006190199513532501	1121	0
6	1720098396.2547417	0.010419284256461488	627	0
7	1720098396.37281	0.0243499448582838	2922	0
8	1720098396.4854407	0.008782000883154369	482	0
9	1720098396.5917685	0.022616177478932117	690	1710
10	1720098396.7054176	0.005282181965517609	1229	0
11	1720098396.8125885	0.022011078829459536	2052	0
12	1720098396.920955	0.005430854503670917	2448	4067
13	1720098397.0270205	0.022843474823146935	519	0
14	1720098397.139765	0.0030347378335679074	2104	0
15	1720098397.2486713	0.0037846801398362744	905	0
16	1720098397.3686662	0.00253363429355554	1805	0
17	1720098397.4758584	0.002846968756742089	2127	0
18	1720098397.590309	0.004404251204514878	837	0
19	1720098397.7049782	0.0061577862685724604	2587	0
20	1720098397.810959	0.0031383917887026925	1894	0
21	1720098397.916316	0.0028070620247519487	2508	0
22	1720098398.021346	0.002694787504540501	914	0
23	1720098398.1264472	0.002973153175218734	825	0
24	1720098398.2407696	0.01204993502992342	2503	0
25	1720098398.349083	0.0047363596614856725	1076	0
26	1720098398.4576526	0.01042740118421742	643	0
27	1720098398.5661316	0.004961611053894809	796	0
28	1720098398.673983	0.0033700824363791762	901	0
29	1720098398.7806494	0.004496549445299052	2001	0
30	1720098398.8863692	0.0025918736738397017	2010	0
31	1720098398.991879	0.002956795547413764	1833	0
32	1720098399.09925	0.003535105842356027	634	0
33	1720098399.2046883	0.004576752087324249	718	0
34	1720098399.310297	0.0026870715217917427	1035	0
35	1720098399.4173212	0.0026131705578328283	631	0
36	1720098399.5223265	0.004358844169620919	597	0
37	1720098399.635175	0.0039048138240551744	1901	4102
38	1720098399.743554	0.00258215186666226	1748	0
39	1720098399.8505843	0.0025573966237018094	2591	0
40	1720098399.955728	0.018003295246004847	563	4058
41	1720098400.0641768	0.003768057131772748	2605	0
42	1720098400.1709235	0.0171784278080758	1201	0
43	1720098400.281177	0.004506319357466301	1240	0
44	1720098400.3870218	0.022965912633573525	698	0
45	1720098400.4947817	0.004717300072573847	1457	0
46	1720098400.6002476	0.018043938887030223	522	0
47	1720098400.7071066	0.004431414863223329	2167	0
48	1720098400.8127565	0.014167502787690809	1332	0
49	1720098400.9223676	0.006019289785181937	1865	0
50	1720098401.028358	0.003082651622002821	1302	0
51	1720098401.1397836	0.004507410524696764	2056	0
52	1720098401.247452	0.0058827692362130885	797	0
53	1720098401.35314	0.0027320734558805224	1893	0
54	1720098401.4582253	0.002695448367869711	1816	0
55	1720098401.5656433	0.004230320919369064	1709	0
56	1720098401.6742086	0.0029398636272683896	1744	0
57	1720098401.779388	0.002537794772006695	810	0
58	1720098401.884415	0.0027077328128191744	534	3736
59	1720098401.9895692	0.0025737369980929404	1636	0
60	1720098402.0945303	0.0028137092818342024	2552	0
61	1720098402.2026317	0.0039736908186596065	873	0
62	1720098402.3111584	0.003985070265971586	1400	962
63	1720098402.4239438	0.0024830389178776683	1999	0
64	1720098402.5288448	0.004204979712618116	1939	0
65	1720098402.634073	0.005235175490415758	1858	0
66	1720098402.7393909	0.0028365768644252414	1003	0
67	1720098402.8444133	0.002726775298730608	1239	0
68	1720098402.951746	0.0028782155063860407	749	0
69	1720098403.057507	0.003085633659327111	2141	3997
70	1720098403.163058	0.0028355366168320165	1932	0
71	1720098403.2681572	0.005054357544302021	2966	0
72	1720098403.373793	0.003145443403500917	1974	0
73	1720098403.4793441	0.004464205150415968	2441	4067
74	1720098403.5854883	0.002736058141235501	2513	0
75	1720098403.70628	0.002913743716808573	1004	0
76	1720098403.8219101	0.023241252971555874	1999	0
77	1720098403.930268	0.0026573105315071456	2965	0
78	1720098404.0375168	0.0032081331952917755	2057	0
79	1720098404.1427054	0.0026513287262055155	1956	0
80	1720098404.2506363	0.004591959331509483	1543	0
81	1720098404.3635762	0.0031304958062770565	921	0
82	1720098404.4703548	0.003010696011274476	545	0
83	1720098404.575474	0.004678325494609509	746	0
84	1720098404.6829095	0.004695200289345046	2955	0
85	1720098404.7881808	0.004616531168381065	1826	0
86	1720098404.8935423	0.00453962212058739	1365	0
87	1720098405.0001776	0.004427212600115376	2923	0
88	1720098405.1090248	0.004605146464679644	1901	0
89	1720098405.2159593	0.0025917444003798248	711	0
90	1720098405.3210049	0.0027324202571289164	687	4094
91	1720098405.4262407	0.0025831186399200593	1018	0
92	1720098405.5328043	0.0025594845233966866	1313	0
93	1720098405.6378915	0.0033055228076539402	1997	0
94	1720098405.743564	0.0032918115342007712	2540	0
95	1720098405.8557107	0.0028028300502510426	1249	0
96	1720098405.9607687	0.0050142455304365155	2610	0
97	1720098406.0662956	0.00412911045483531	1028	0
98	1720098406.1715608	0.0027014337332181082	495	4097
99	1720098406.2765021	0.004519684325108853	580	0
100	1720098406.3886094	0.0035412618724847784	1667	0
101	1720098406.495868	0.00593941705885745	507	0
102	1720098406.6023507	0.008491516300718496	1824	0
103	1720098406.7085633	0.0029436463290201994	474	0
104	1720098406.8146632	0.0022755686673082633	922	0
105	1720098406.9198372	0.0023461248138400962	992	0
106	1720098407.025155	0.0021781263584987683	548	0
107	1720098407.1320472	0.0023370477823691153	1904	0
108	1720098407.2385697	0.002341191769569431	2016	0
109	1720098407.343801	0.003151310442564424	2119	0
110	1720098407.4528582	0.006783891144136453	1122	0
111	1720098407.5607147	0.0038096843150994776	474	3536
112	1720098407.6692333	0.004391242106742313	2944	0
113	1720098407.7862673	0.006062824031716987	2595	0
114	1720098407.8926318	0.002339178653362541	2904	0
115	1720098407.9979327	0.002822084223485534	2275	0
116	1720098408.1036632	0.0021729123795082854	1685	0
117	1720098408.2086504	0.004052859441938482	715	0
118	1720098408.314517	0.002184031749684692	2584	0
119	1720098408.4202592	0.002234306868859038	2941	0
120	1720098408.5264223	0.0031210664129725074	1353	0
121	1720098408.632198	0.0023302556513775125	1631	0
122	1720098408.7374763	0.0025110608949248945	2101	0
123	1720098408.842676	0.0021922715061381336	646	0
124	1720098408.9476962	0.002254195118407671	505	0
125	1720098409.058256	0.0024962653025589953	569	0
126	1720098409.1694286	0.002370054521978234	869	0
127	1720098409.29534	0.002536173595404605	964	0
128	1720098409.4015372	0.0028808284571064176	1879	0
129	1720098409.5071292	0.00438730971791357	2618	1364
130	1720098409.6145346	0.002721415135870653	582	0
131	1720098409.7225285	0.002561322702372094	568	0
132	1720098409.8331525	0.0031252288460130177	1975	0
133	1720098409.9408956	0.002431619019778497	799	0
134	1720098410.0465045	0.0023526542998031177	1932	0
135	1720098410.1517222	0.0023430666527683988	565	0
136	1720098410.2575023	0.002188849715517164	2037	0
137	1720098410.362462	0.0023416225104646226	2274	0
138	1720098410.4694576	0.0023662996154206087	1907	0
139	1720098410.575306	0.0028884621359310733	1071	4091
140	1720098410.6804044	0.002362832039185334	894	0
141	1720098410.7891378	0.006830914142174675	696	0
142	1720098410.9017184	0.003979495194451641	1866	0
143	1720098411.008547	0.0027380726203913765	989	0
144	1720098411.11678	0.0034536041628146544	490	0
145	1720098411.2469072	0.0027047729346786342	2276	0
146	1720098411.357638	0.0025746264637128485	502	4097
