counter	timestamp	deadtime	ch1_height	ch2_height
1	1720431927.8940105	0.0025540061441116087	0	919
2	1720431927.9098477	0.028886570278730064	0	2673
3	1720431927.9259086	0.017863040019214026	0	2169
4	1720431927.9424007	0.031814750993320894	0	2514
5	1720431927.9589443	0.026498130055373555	0	1659
6	1720431927.9747727	0.01821970100223564	0	4096
7	1720431927.9905665	0.02102522424899163	0	2173
8	1720431928.0064695	0.026156461570580693	0	4096
9	1720431928.021582	0.015794180587051645	0	2187
10	1720431928.0363739	0.0246341619272797	0	4094
11	1720431928.0511043	0.017163180735471663	0	4096
12	1720431928.0659578	0.01663348532528418	0	1515
13	1720431928.0813842	0.015829829334652486	0	3325
14	1720431928.0972605	0.019775784753363227	0	4095
15	1720431928.1131861	0.02002724183867443	0	4079
16	1720431928.128675	0.015671895788854855	0	4095
17	1720431928.1436338	0.014952763947402017	0	4095
18	1720431928.1586926	0.015614617940199336	0	2234
19	1720431928.1736403	0.018294914013904134	0	4096
20	1720431928.1887107	0.01585816457603197	0	2772
21	1720431928.2038462	0.01729994967287368	0	1311
22	1720431928.2184658	0.014370355821794495	0	4074
23	1720431928.233574	0.01494372458148113	0	2211
24	1720431928.2487085	0.016776993348952027	0	4096
25	1720431928.2632108	0.014610095147007899	0	2127
26	1720431928.2779753	0.013558719436319268	0	1984
27	1720431928.2923923	0.015551740077923794	0	1583
28	1720431928.3072727	0.015045665758692517	0	4085
29	1720431928.3216777	0.014938474023285471	0	2629
30	1720431928.3362465	0.015550904274454656	0	4096
31	1720431928.3507502	0.014627965906473164	0	4096
32	1720431928.3653698	0.012856536086516157	0	2012
33	1720431928.3797822	0.014583711827175582	0	4095
34	1720431928.3945725	0.013343229158263283	0	4095
35	1720431928.4096253	0.015918889467949022	0	1241
36	1720431928.4246688	0.01564853423810505	0	4095
37	1720431928.439549	0.013854328875760543	0	4095
38	1720431928.454047	0.012796653436321415	0	4096
39	1720431928.4684904	0.013184165800372918	0	4095
40	1720431928.4831133	0.01297917787669781	0	4096
41	1720431928.4977875	0.014453726985156947	0	4096
42	1720431928.5122478	0.013210039630118891	0	4065
43	1720431928.526614	0.013227118081487013	0	4095
44	1720431928.5410867	0.013504166529429202	0	4096
45	1720431928.555529	0.014934968597003115	0	4082
46	1720431928.5700243	0.012498351141010422	0	4096
47	1720431928.5844183	0.012555489299675347	0	4095
48	1720431928.5990012	0.012763314866565345	0	4095
49	1720431928.6133516	0.014646364118895966	0	1580
50	1720431928.627729	0.013759336099585063	0	4088
51	1720431928.6418307	0.013298592311857066	0	4087
52	1720431928.6559093	0.01640894050914984	0	814
53	1720431928.6710548	0.017156593190780688	0	2114
54	1720431928.6866822	0.017379373427852732	0	4080
55	1720431928.7021832	0.01526199762591148	0	4085
56	1720431928.7175083	0.0246281883332049	0	4095
57	1720431928.733051	0.017367924965619543	0	4095
58	1720431928.748236	0.019065537786139855	0	4096
59	1720431928.7634218	0.017467523287413016	0	4096
60	1720431928.7787209	0.018328320059847577	0	2068
61	1720431928.7938285	0.015248923232835065	0	4095
62	1720431928.8087232	0.017865981192023376	0	1911
63	1720431928.8238356	0.01625746516257465	0	4095
64	1720431928.8397362	0.01501605112357865	0	4095
65	1720431928.8549223	0.014229336016729297	0	4095
66	1720431928.8698416	0.01908670134084077	0	4096
67	1720431928.884437	0.012765467436542796	0	4095
68	1720431928.899035	0.012560844140995068	0	4091
69	1720431928.913761	0.015272104999757842	0	4095
70	1720431928.9283166	0.01362295081967213	0	4096
71	1720431928.9428487	0.014247492736733253	401	4096
72	1720431928.9573603	0.01271967353386428	0	4096
73	1720431928.972027	0.012805928429811162	252	1681
74	1720431928.9867988	0.01570470014642702	0	3030
75	1720431929.0022295	0.015004249401220738	0	3715
76	1720431929.0173388	0.014544248626113322	0	4096
77	1720431929.0335925	0.025486105074038656	0	4096
78	1720431929.049987	0.019808353448906444	0	4096
79	1720431929.0663717	0.018230836490819004	0	855
80	1720431929.0834134	0.018092082267242706	0	1263
81	1720431929.1003234	0.02101962769248074	0	4095
82	1720431929.1163964	0.01648613970697938	0	4069
83	1720431929.132325	0.015258479847714975	0	3756
84	1720431929.1482205	0.018331887915308473	0	4096
85	1720431929.1650379	0.022424370636767506	0	1952
86	1720431929.1822422	0.017732618832208225	1259	1485
87	1720431929.1991918	0.020977648147628796	0	4095
88	1720431929.2161977	0.021247967707574145	0	4077
89	1720431929.2332509	0.02216604279568691	0	4096
90	1720431929.2503107	0.021084295208114726	0	4096
91	1720431929.2672133	0.0362469794183818	0	1275
92	1720431929.2841744	0.02179933759707629	0	2954
93	1720431929.3012977	0.023082267926625905	0	1924
94	1720431929.3187616	0.02968525496787486	0	4095
95	1720431929.335826	0.03534335330839926	0	2273
96	1720431929.3527067	0.021334556820462824	0	3188
97	1720431929.3690033	0.016979551034209017	0	4090
98	1720431929.385998	0.020367679928475636	0	4096
99	1720431929.4029458	0.030318222964974585	0	4096
100	1720431929.420117	0.022874811125412727	0	1539
101	1720431929.4372513	0.016922818510120098	0	3877
102	1720431929.4531956	0.015059021163624365	0	4095
103	1720431929.4689252	0.015591617800809128	0	4093
104	1720431929.4847422	0.017051440267284713	0	4052
105	1720431929.500652	0.016801558752997603	0	4095
106	1720431929.516611	0.015732723166883514	0	4095
107	1720431929.5327322	0.016794682422451995	0	1690
108	1720431929.5485222	0.015338768965465079	0	4093
109	1720431929.5651286	0.01626680425373348	0	4096
110	1720431929.581671	0.018338463308690274	0	1895
111	1720431929.6014419	0.019334926563306872	0	4095
112	1720431929.6210706	0.01830432614538865	0	734
113	1720431929.639499	0.021104021904786507	0	1962
114	1720431929.6565223	0.014676177696164984	0	4030
115	1720431929.6735196	0.012953804653253905	0	4095
116	1720431929.6905072	0.014710621068411393	0	3439
117	1720431929.7074463	0.012332265665787134	0	4074
118	1720431929.726091	0.01591967626173933	1532	1612
119	1720431929.7431307	0.019054537326776932	2951	3076
120	1720431929.7600622	0.019869413486434763	0	4095
121	1720431929.776802	0.025371865703357414	0	2638
122	1720431929.7927678	0.017221619013149957	0	1068
123	1720431929.8094108	0.013235611123086872	0	1223
124	1720431929.8256533	0.014907214681481047	0	4095
125	1720431929.8413644	0.013456596773457813	0	4095
126	1720431929.859232	0.014216495394281454	0	4095
127	1720431929.8752909	0.0132481876776969	0	4074
128	1720431929.8910272	0.013095869647593785	0	4095
129	1720431929.9078624	0.014120740102053797	0	885
130	1720431929.9235291	0.014317918722963504	0	3138
131	1720431929.9518657	0.011161200583197868	0	4091
