counter	timestamp	deadtime	ch1_height	ch2_height
1	1720440820.2571561	0.002395071249123081	2404	-444
2	1720440820.2740872	0.027683402541839687	673	-800
3	1720440820.290876	0.01676603692263487	645	-496
4	1720440820.307959	0.021189735614307932	484	-724
5	1720440820.3243115	0.01755234202159612	1798	-645
6	1720440820.3410168	0.016100920052574432	234	-732
7	1720440820.3572443	0.016066913623801964	1983	-811
8	1720440820.3732038	0.01574061617112875	1446	-413
9	1720440820.3882856	0.017842199169469313	2409	-342
10	1720440820.4033005	0.015476379831398122	2113	-358
11	1720440820.4188123	0.014542041117813615	2495	-459
12	1720440820.4355948	0.02719964144653912	1426	-714
13	1720440820.4530776	0.023234811165845647	276	-864
14	1720440820.4702928	0.019128837940484967	1274	-405
15	1720440820.4864032	0.02079912424740011	757	-389
16	1720440820.5024698	0.014896189381614102	2201	-366
17	1720440820.5184352	0.01446568136646891	1966	-434
18	1720440820.5339947	0.015376847516753878	1024	-419
19	1720440820.5495956	0.018166842081178785	1493	-383
20	1720440820.5652373	0.014729275007647598	609	-859
21	1720440820.580898	0.015754497483234233	653	-501
22	1720440820.595959	0.014543090049798585	450	-853
23	1720440820.6108878	0.015997830802603037	955	-403
24	1720440820.6267288	0.019975442484501813	218	-701
25	1720440820.642478	0.0165182506154454	246	-787
26	1720440820.6580188	0.01751938935041844	2677	-344
27	1720440820.6737533	0.016143198958112486	763	-816
28	1720440820.689382	0.014514943655071043	1936	-759
29	1720440820.7048988	0.017403560376260074	2946	-481
30	1720440820.7205143	0.014471669218989281	2009	-791
31	1720440820.7366788	0.0223278257055125	487	-595
32	1720440820.7538116	0.018189432539959517	224	-343
33	1720440820.770406	0.020030418687404943	1812	-597
34	1720440820.7866797	0.03280965193993577	675	-343
35	1720440820.8056977	0.027867310465918355	1380	-365
36	1720440820.8216896	0.017189371087295933	1883	-358
37	1720440820.8376124	0.017700306725518068	210	-534
38	1720440820.853412	0.016307715559585885	1141	-922
39	1720440820.8691366	0.01519498459249814	2262	-406
40	1720440820.884861	0.015042838729244067	1143	-557
41	1720440820.9003015	0.015257509072658482	770	-584
42	1720440820.915831	0.015001689033565703	2587	-948
43	1720440820.9310448	0.016652320212849205	250	-356
44	1720440820.9464002	0.03287273837697534	1482	-442
45	1720440820.9620962	0.01479074804672391	1257	-843
46	1720440820.9774272	0.01462124747239073	2412	-541
47	1720440820.9929235	0.01452352380073233	2094	-686
48	1720440821.0086627	0.017439753578546838	784	-898
49	1720440821.0243654	0.01463488921038605	601	-888
50	1720440821.0398602	0.01699416641080749	1079	-335
51	1720440821.0553617	0.014601578882447269	1240	-723
52	1720440821.0708055	0.014755818978823238	201	-903
53	1720440821.0862238	0.014662212323682257	1590	-672
54	1720440821.1018786	0.014737226721880518	789	-778
55	1720440821.1174238	0.017708317404003488	1977	-564
56	1720440821.1331217	0.015180352330343956	423	-356
57	1720440821.148533	0.016792831762706628	323	-425
58	1720440821.1649828	0.019673503557974047	2736	-408
59	1720440821.1825542	0.019266229188133848	2341	-719
60	1720440821.1993315	0.0192873906550032	2051	-377
61	1720440821.2159889	0.018130741998824727	2070	-508
62	1720440821.232496	0.019572774083743204	1929	-446
63	1720440821.2490883	0.017154462176643428	1087	-384
64	1720440821.2653282	0.03129614081815813	195	-909
65	1720440821.281875	0.03098473821499085	1149	-431
66	1720440821.2976465	0.017712698193427575	684	-409
67	1720440821.3131375	0.015624277010873756	1736	-435
68	1720440821.3285573	0.01690936887131893	805	-362
69	1720440821.3439615	0.01615651527356094	461	-374
70	1720440821.3601568	0.01717677828878734	1593	-602
71	1720440821.3758547	0.014927191860110888	2599	-435
72	1720440821.3912997	0.015082048194630977	2607	-446
73	1720440821.4066157	0.032142693383465544	2062	-340
74	1720440821.4223182	0.016324072215100925	500	-469
75	1720440821.437728	0.016369093665872452	2127	-852
77	1720440821.4684005	0.015905192577576797	919	-410
78	1720440821.4836237	0.0191707256150868	1514	-375
79	1720440821.4991724	0.015113970418481523	1190	-908
80	1720440821.5145156	0.020161726734387805	1244	-712
81	1720440821.5301492	0.015999387583250403	1084	-352
82	1720440821.5459995	0.016487810743379325	1585	-564
83	1720440821.562649	0.027242365061843708	2944	-342
84	1720440821.5799472	0.01504713560551124	2011	-598
85	1720440821.5964077	0.017164589177777134	1361	-387
86	1720440821.6144612	0.02206885693292747	2490	-683
87	1720440821.6312895	0.016501555942558598	1714	-630
88	1720440821.6480408	0.016005240149799933	362	-532
89	1720440821.6652765	0.017749682548445868	3290	-776
90	1720440821.6825032	0.017526857902314764	1260	-501
91	1720440821.7002556	0.025348812440089467	2935	-757
92	1720440821.7182193	0.017987776336378103	212	-626
93	1720440821.736199	0.03578541767010766	1348	-592
94	1720440821.7537313	0.09211471372870922	494	-746
95	1720440821.772583	0.016849476189173665	2036	-617
96	1720440821.7898462	0.0353197891113129	1116	-446
97	1720440821.806844	0.017676839907325305	1101	-563
98	1720440821.823309	0.029665318026505783	299	-396
99	1720440821.8409283	0.01517563117453348	516	-439
100	1720440821.8579996	0.017668287653099614	2932	-515
101	1720440821.874842	0.017142209503300938	2014	-827
102	1720440821.891527	0.01872039267165116	2422	-346
103	1720440821.9082332	0.01747667157290044	1948	-354
104	1720440821.9254537	0.014120489288144066	2177	-349
105	1720440821.9424584	0.02256297614413613	1346	-896
106	1720440821.9605954	0.019672390182239544	1521	-785
107	1720440821.978172	0.016169679467095317	1502	-385
108	1720440821.9943757	0.01635118214627679	220	-611
109	1720440822.0107884	0.012537905295078143	2933	-368
110	1720440822.0262363	0.014246507755404113	2150	-722
111	1720440822.0418334	0.01657517535834096	360	-469
112	1720440822.0574963	0.01342292127968237	943	-378
113	1720440822.0732074	0.015415833787630989	1026	-847
114	1720440822.0893185	0.013268891491601311	1222	-551
115	1720440822.1059184	0.013066639863302844	861	-570
116	1720440822.1229753	0.01659566173808927	308	-603
117	1720440822.1403565	0.016890131885607743	1798	-933
118	1720440822.158751	0.03242817388210478	896	-855
119	1720440822.177948	0.019880490141697342	2504	-334
120	1720440822.195387	0.01277505690832586	1740	-457
122	1720440822.2287328	0.01703922395613665	830	-423
