counter	timestamp	deadtime	ch1_height	ch2_height
1	1720253488.9455786	0.0036418796255962	2245	0
2	1720253488.961595	0.030247370759887423	632	0
3	1720253488.9772942	0.019728654180047017	2569	0
4	1720253488.9935384	0.02448384037353177	554	0
5	1720253489.0110164	0.021661044264466873	1121	0
6	1720253489.0281231	0.02053551485369667	627	0
7	1720253489.045216	0.02068167238445876	2922	0
8	1720253489.0623388	0.02743438701291518	482	0
9	1720253489.07909	0.01823878580565417	690	1710
10	1720253489.095804	0.02003988035892323	1229	0
11	1720253489.1123896	0.03210917973187912	2052	0
12	1720253489.1286025	0.019200930954228083	2448	4067
13	1720253489.1443086	0.02574932496643688	519	0
14	1720253489.1601582	0.013674849241639763	2104	0
15	1720253489.1770039	0.024153508342540663	905	0
16	1720253489.193575	0.0225171294626758	1805	0
17	1720253489.2095735	0.01756752705579039	2127	0
18	1720253489.2258544	0.018038974719101125	837	0
19	1720253489.2419193	0.014908923012764183	2587	0
20	1720253489.2575557	0.0166420512508184	1894	0
21	1720253489.2727334	0.016366637842936876	2508	0
22	1720253489.288103	0.014650136713895104	914	0
23	1720253489.3031049	0.013984122691187935	825	0
24	1720253489.3185182	0.014267606504668275	2503	0
25	1720253489.333783	0.0165050964745488	1076	0
26	1720253489.3489733	0.017069344210856607	643	0
27	1720253489.3639526	0.015293836217207559	796	0
28	1720253489.3797429	0.019852234502642962	901	0
29	1720253489.3954868	0.01877179681576952	2001	0
30	1720253489.411058	0.018174573985533897	2010	0
31	1720253489.4267318	0.01597439219571679	1833	0
32	1720253489.442478	0.017713292526260107	634	0
33	1720253489.4581475	0.014834032811903854	718	0
34	1720253489.4737751	0.016044980800877674	1035	0
35	1720253489.4892647	0.01655588380108321	631	0
36	1720253489.504776	0.014858269050148584	597	0
37	1720253489.520235	0.01605126546205154	1901	4102
38	1720253489.5361063	0.016287867415258055	1748	0
39	1720253489.5518079	0.015668216771526702	2591	0
40	1720253489.5678327	0.017808381811706044	563	4058
41	1720253489.583972	0.014976890258355061	2605	0
42	1720253489.5996356	0.01685564033194516	1201	0
43	1720253489.6153061	0.013330279431974347	1240	0
44	1720253489.6309464	0.01549857029871631	698	0
45	1720253489.6465313	0.018031612480375568	1457	0
46	1720253489.6621327	0.016700629720992233	522	0
47	1720253489.6773822	0.015440992232523177	2167	0
48	1720253489.6927626	0.015833178409865527	1332	0
49	1720253489.7080162	0.01623513602200103	1865	0
50	1720253489.723852	0.015539126375860147	1302	0
51	1720253489.7395725	0.01700767844431992	2056	0
52	1720253489.7551606	0.016891064871481027	797	0
53	1720253489.7707853	0.017400985191624346	1893	0
54	1720253489.786307	0.01521216973578863	1816	0
55	1720253489.8013341	0.014142922976688014	1709	0
56	1720253489.8162751	0.014060679572912843	1744	0
57	1720253489.8312566	0.014333439389118676	810	0
58	1720253489.8462589	0.014460052119748299	534	3736
59	1720253489.8642254	0.027454873174681958	1636	0
60	1720253489.881235	0.028771427769828578	2552	0
61	1720253489.898354	0.032872571991071305	873	0
62	1720253489.914412	0.015679680043630413	1400	962
63	1720253489.930122	0.015363594959769243	1999	0
64	1720253489.9452865	0.013989759747932257	1939	0
65	1720253489.9602742	0.014455187329050314	1858	0
66	1720253489.975435	0.018138529494690015	1003	0
67	1720253489.9903784	0.014056514561395074	1239	0
68	1720253490.005208	0.014242312205629411	749	0
69	1720253490.019836	0.01281548960067914	2141	3997
70	1720253490.034522	0.016463434356502896	1932	0
71	1720253490.049699	0.018012227621884307	2966	0
72	1720253490.0652163	0.018002242600187394	1974	0
73	1720253490.080464	0.01932238866586482	2441	4067
74	1720253490.0958207	0.014446628599956317	2513	0
75	1720253490.1102455	0.013560725225598145	1004	0
76	1720253490.1252532	0.013825396825396826	1999	0
77	1720253490.1398811	0.01313556556360551	2965	0
78	1720253490.1544552	0.013137014314928426	2057	0
79	1720253490.169107	0.016538305634373734	1956	0
80	1720253490.1838465	0.013098735574347905	1543	0
81	1720253490.1982613	0.013918735742387675	921	0
82	1720253490.213501	0.016709271151568054	545	0
83	1720253490.228724	0.01952362358453729	746	0
84	1720253490.2445955	0.019409460047735562	2955	0
85	1720253490.2604175	0.020118966945260146	1826	0
86	1720253490.2764025	0.013363764677617946	1365	0
87	1720253490.292207	0.017767297958938468	2923	0
88	1720253490.308313	0.020121645162242758	1901	0
89	1720253490.3243277	0.01730884109916368	711	0
90	1720253490.340609	0.020114439189583697	687	4094
91	1720253490.3578799	0.017598186267055588	1018	0
92	1720253490.374626	0.031730877232393574	1313	0
93	1720253490.3914433	0.024278712185084098	1997	0
94	1720253490.40858	0.01954620392880096	2540	0
95	1720253490.4252965	0.014892214195619768	1249	0
96	1720253490.4412796	0.015649475615759873	2610	0
97	1720253490.458187	0.020743689293172805	1028	0
98	1720253490.4742541	0.01672385499030285	495	4097
99	1720253490.49054	0.02379810835548969	580	0
100	1720253490.5077317	0.031246992837798825	1667	0
101	1720253490.5248952	0.015255530129672006	507	0
102	1720253490.5411282	0.016902648375027512	1824	0
103	1720253490.5570683	0.017773857928725184	474	0
